TABLE_NAME,COLUMN_NAME,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
UFD_BASE.CARRIER,CARRIER_TYPE,UFD_BASE.CATEGORY_TYPE,TYPE
UFD_BASE.CARRIER_HUB,HUB_TYPE,UFD_BASE.CATEGORY_TYPE,TYPE
UFD_BASE.CARRIER_HUB,OWNER,UFD_BASE.CARRIER,CARRIER_CODE
UFD_BASE.CARRIER_HUB_GROUP,HUB_CODE,UFD_BASE.HUB_SHIPVIA,SHIPVIA_CODE
UFD_BASE.CARRIER_HUB_GROUP,HUB_CODE,UFD_BASE.HUB_SHIPVIA,HUB_CODE
UFD_BASE.CARRIER_HUB_GROUP,SHIPVIA_CODE,UFD_BASE.HUB_SHIPVIA,SHIPVIA_CODE
UFD_BASE.CARRIER_HUB_GROUP,SHIPVIA_CODE,UFD_BASE.HUB_SHIPVIA,HUB_CODE
GSMADMIN_INTERNAL.CATALOG_REQUESTS,EXEC_DB,GSMADMIN_INTERNAL.DATABASE,DATABASE_NUM
GSMADMIN_INTERNAL.CATALOG_REQUESTS,SOURCE_DB,GSMADMIN_INTERNAL.DATABASE,DATABASE_NUM
GSMADMIN_INTERNAL.CATALOG_REQUESTS,TARGET_DB,GSMADMIN_INTERNAL.DATABASE,DATABASE_NUM
UFD_BASE.CATEGORY_TYPE,CATEGORY_CODE,UFD_BASE.CATEGORY,CATEGORY_CODE
FDL_CORP.CELL,CELL_TYPE_ID,FDL_CORP.CELL_TYPE,CELL_TYPE_ID
FDL_CORP.CELL,LINE_ID,FDL_CORP.LINE,LINE_ID
GSMADMIN_INTERNAL.CHUNKS,SHARDSPACE_ID,GSMADMIN_INTERNAL.SHARD_SPACE,SHARDSPACE_ID
GSMADMIN_INTERNAL.CHUNK_LOC,CHUNK_NUMBER,GSMADMIN_INTERNAL.CHUNKS,CHUNK_NUMBER
GSMADMIN_INTERNAL.CHUNK_LOC,CHUNK_NUMBER,GSMADMIN_INTERNAL.CHUNKS,SHARDSPACE_ID
GSMADMIN_INTERNAL.CHUNK_LOC,DATABASE_NUM,GSMADMIN_INTERNAL.DATABASE,DATABASE_NUM
GSMADMIN_INTERNAL.CHUNK_LOC,SHARDGROUP_ID,GSMADMIN_INTERNAL.SHARD_GROUP,SHARDGROUP_ID
GSMADMIN_INTERNAL.CHUNK_LOC,SHARDSPACE_ID,GSMADMIN_INTERNAL.SHARD_SPACE,SHARDSPACE_ID
GSMADMIN_INTERNAL.CHUNK_LOC,SHARDSPACE_ID,GSMADMIN_INTERNAL.CHUNKS,SHARDSPACE_ID
GSMADMIN_INTERNAL.CHUNK_LOC,SHARDSPACE_ID,GSMADMIN_INTERNAL.CHUNKS,CHUNK_NUMBER
UFD_BOSS.CONFIG_KEY_VALUE_PAIRS,CONFIG_TYPE_ID,UFD_BOSS.CONFIG_TYPE,CONFIG_TYPE_ID
UFD_BASE.CONTACT,ADDRESS_ID,UFD_BASE.ADDRESS,ADDRESS_ID
UFD_BASE.CONTACT_OPR,ADDRESS_ID,UFD_BASE.ADDRESS_OPR,ADDRESS_ID
FDL_CORP.CORP_CONTROL_NUMB,AREA_ID,FDL_CORP.AREA,AREA_ID
GSMADMIN_INTERNAL.CREDENTIAL,POOL_NAME,GSMADMIN_INTERNAL.DATABASE_POOL,NAME
