REGION,PROCESSDAY,PROCESSDAY_HOUR,ORDER_COUNT,FISCALYEAR,FISCALQUARTER,FISCALMONTH,FISCALWEEK,DAYNUM
DAO,20240313,04,258,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,04,17,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,04,628,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,05,170,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,05,40,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,05,612,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,06,114,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,06,715,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,06,135,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,07,92,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,07,1373,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,07,345,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,08,520,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,08,925,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,08,102,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,09,976,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,09,171,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,09,543,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,10,1246,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,10,169,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,10,518,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,11,284,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,11,1086,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,11,471,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,12,943,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,12,898,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,12,196,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,13,2041,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,13,1033,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,13,193,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,14,150,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,14,2615,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,14,1256,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,15,1231,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,15,4009,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,15,105,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,16,3240,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,16,1174,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,16,88,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,17,3111,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,17,1143,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,17,99,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,18,78,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,18,559,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,18,2969,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,19,3546,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,19,463,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,19,17,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,20,3002,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,20,26,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,20,201,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,21,190,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,21,2755,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,21,38,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,22,2013,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,22,49,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,22,132,FY25,Q1,M02,WK06,Wednesday
APJ,20240313,23,156,FY25,Q1,M02,WK06,Wednesday
EMEA,20240313,23,225,FY25,Q1,M02,WK06,Wednesday
DAO,20240313,23,1378,FY25,Q1,M02,WK06,Wednesday
DAO,20240314,00,842,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,00,375,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,00,33,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,01,561,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,01,766,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,01,63,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,02,693,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,02,524,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,02,21,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,03,673,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,03,470,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,03,9,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,04,638,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,04,253,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,04,17,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,05,707,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,05,196,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,05,45,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,06,888,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,06,343,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,06,160,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,07,769,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,07,272,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,07,257,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,08,1735,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,08,125,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,08,469,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,09,731,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,09,77,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,09,726,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,10,466,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,10,160,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,10,1123,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,11,502,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,11,413,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,11,1067,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,12,572,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,12,1287,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,12,846,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,13,653,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,13,1728,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,13,1148,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,14,519,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,14,2068,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,14,1094,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,15,225,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,15,2991,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,15,1449,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,16,67,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,16,2833,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,16,1310,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,17,760,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,17,48,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,17,2771,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,18,11,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,18,4107,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,18,535,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,19,17,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,19,2950,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,19,244,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,20,42,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,20,3574,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,20,283,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,21,33,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,21,3090,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,21,176,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,22,53,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,22,2086,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,22,176,FY25,Q1,M02,WK06,Thursday 
APJ,20240314,23,323,FY25,Q1,M02,WK06,Thursday 
DAO,20240314,23,1362,FY25,Q1,M02,WK06,Thursday 
EMEA,20240314,23,392,FY25,Q1,M02,WK06,Thursday 
APJ,20240315,00,321,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,00,71,FY25,Q1,M02,WK06,Friday   
DAO,20240315,00,834,FY25,Q1,M02,WK06,Friday   
APJ,20240315,01,236,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,01,40,FY25,Q1,M02,WK06,Friday   
DAO,20240315,01,692,FY25,Q1,M02,WK06,Friday   
APJ,20240315,02,448,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,02,26,FY25,Q1,M02,WK06,Friday   
DAO,20240315,02,723,FY25,Q1,M02,WK06,Friday   
APJ,20240315,03,825,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,03,34,FY25,Q1,M02,WK06,Friday   
DAO,20240315,03,451,FY25,Q1,M02,WK06,Friday   
APJ,20240315,04,876,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,04,39,FY25,Q1,M02,WK06,Friday   
DAO,20240315,04,227,FY25,Q1,M02,WK06,Friday   
APJ,20240315,05,924,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,05,82,FY25,Q1,M02,WK06,Friday   
DAO,20240315,05,157,FY25,Q1,M02,WK06,Friday   
DAO,20240315,06,226,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,06,183,FY25,Q1,M02,WK06,Friday   
APJ,20240315,06,1388,FY25,Q1,M02,WK06,Friday   
APJ,20240315,07,1295,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,07,249,FY25,Q1,M02,WK06,Friday   
DAO,20240315,07,69,FY25,Q1,M02,WK06,Friday   
APJ,20240315,08,1350,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,08,516,FY25,Q1,M02,WK06,Friday   
DAO,20240315,08,23,FY25,Q1,M02,WK06,Friday   
DAO,20240315,09,315,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,09,618,FY25,Q1,M02,WK06,Friday   
APJ,20240315,09,1490,FY25,Q1,M02,WK06,Friday   
APJ,20240315,10,1245,FY25,Q1,M02,WK06,Friday   
DAO,20240315,10,183,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,10,1016,FY25,Q1,M02,WK06,Friday   
APJ,20240315,11,800,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,11,1024,FY25,Q1,M02,WK06,Friday   
DAO,20240315,11,400,FY25,Q1,M02,WK06,Friday   
DAO,20240315,12,1241,FY25,Q1,M02,WK06,Friday   
APJ,20240315,12,666,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,12,1145,FY25,Q1,M02,WK06,Friday   
DAO,20240315,13,1634,FY25,Q1,M02,WK06,Friday   
APJ,20240315,13,344,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,13,1270,FY25,Q1,M02,WK06,Friday   
DAO,20240315,14,3024,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,14,1359,FY25,Q1,M02,WK06,Friday   
APJ,20240315,14,252,FY25,Q1,M02,WK06,Friday   
DAO,20240315,15,3167,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,15,1492,FY25,Q1,M02,WK06,Friday   
APJ,20240315,15,231,FY25,Q1,M02,WK06,Friday   
APJ,20240315,16,95,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,16,1171,FY25,Q1,M02,WK06,Friday   
DAO,20240315,16,3286,FY25,Q1,M02,WK06,Friday   
APJ,20240315,17,77,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,17,724,FY25,Q1,M02,WK06,Friday   
DAO,20240315,17,2540,FY25,Q1,M02,WK06,Friday   
APJ,20240315,18,34,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,18,427,FY25,Q1,M02,WK06,Friday   
DAO,20240315,18,2903,FY25,Q1,M02,WK06,Friday   
DAO,20240315,19,3074,FY25,Q1,M02,WK06,Friday   
APJ,20240315,19,14,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,19,258,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,20,285,FY25,Q1,M02,WK06,Friday   
DAO,20240315,20,3471,FY25,Q1,M02,WK06,Friday   
APJ,20240315,20,21,FY25,Q1,M02,WK06,Friday   
APJ,20240315,21,17,FY25,Q1,M02,WK06,Friday   
DAO,20240315,21,2621,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,21,170,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,22,147,FY25,Q1,M02,WK06,Friday   
DAO,20240315,22,1650,FY25,Q1,M02,WK06,Friday   
APJ,20240315,22,28,FY25,Q1,M02,WK06,Friday   
EMEA,20240315,23,102,FY25,Q1,M02,WK06,Friday   
DAO,20240315,23,1342,FY25,Q1,M02,WK06,Friday   
APJ,20240315,23,39,FY25,Q1,M02,WK06,Friday   
APJ,20240316,00,44,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,00,69,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,00,991,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,01,854,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,01,308,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,01,131,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,02,116,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,02,15,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,02,364,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,03,223,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,03,81,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,03,5,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,04,213,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,04,6,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,04,80,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,05,10,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,05,85,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,05,96,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,06,143,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,06,78,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,06,14,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,07,93,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,07,278,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,07,51,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,08,102,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,08,41,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,08,65,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,09,94,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,09,37,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,09,84,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,10,77,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,10,109,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,10,65,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,11,112,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,11,74,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,11,98,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,12,145,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,12,106,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,12,175,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,13,289,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,13,119,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,13,87,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,14,36,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,14,72,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,14,385,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,15,59,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,15,120,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,15,508,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,16,568,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,16,31,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,16,134,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,17,458,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,17,103,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,17,17,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,18,85,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,18,502,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,18,3,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,19,58,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,19,428,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,19,1,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,20,442,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,20,5,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,20,76,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,21,89,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,21,371,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,21,17,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,22,372,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,22,442,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,22,12,FY25,Q1,M02,WK07,Saturday 
APJ,20240316,23,37,FY25,Q1,M02,WK07,Saturday 
EMEA,20240316,23,41,FY25,Q1,M02,WK07,Saturday 
DAO,20240316,23,402,FY25,Q1,M02,WK07,Saturday 
DAO,20240317,00,336,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,00,59,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,00,23,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,01,63,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,01,300,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,01,28,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,02,95,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,02,5,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,02,304,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,03,81,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,03,1,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,03,241,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,04,164,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,04,5,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,04,65,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,05,12,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,05,104,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,05,131,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,06,54,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,06,111,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,06,98,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,07,29,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,07,118,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,07,81,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,08,42,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,08,57,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,08,91,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,09,35,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,09,79,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,09,103,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,10,98,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,10,73,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,10,51,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,11,89,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,11,82,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,11,120,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,12,127,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,12,112,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,12,175,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,13,102,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,13,110,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,13,204,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,14,317,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,14,116,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,14,140,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,15,534,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,15,112,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,15,46,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,16,104,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,16,387,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,16,29,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,17,117,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,17,436,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,17,10,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,18,121,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,18,7,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,18,442,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,19,477,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,19,8,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,19,127,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,20,12,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,20,108,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,20,363,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,21,29,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,21,97,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,21,386,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,22,71,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,22,81,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,22,333,FY25,Q1,M02,WK07,Sunday   
EMEA,20240317,23,79,FY25,Q1,M02,WK07,Sunday   
APJ,20240317,23,138,FY25,Q1,M02,WK07,Sunday   
DAO,20240317,23,349,FY25,Q1,M02,WK07,Sunday   
APJ,20240318,00,303,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,00,46,FY25,Q1,M02,WK07,Monday   
DAO,20240318,00,425,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,01,29,FY25,Q1,M02,WK07,Monday   
APJ,20240318,01,760,FY25,Q1,M02,WK07,Monday   
DAO,20240318,01,411,FY25,Q1,M02,WK07,Monday   
DAO,20240318,02,378,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,02,142,FY25,Q1,M02,WK07,Monday   
APJ,20240318,02,1153,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,03,11,FY25,Q1,M02,WK07,Monday   
DAO,20240318,03,301,FY25,Q1,M02,WK07,Monday   
APJ,20240318,03,669,FY25,Q1,M02,WK07,Monday   
DAO,20240318,04,231,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,04,15,FY25,Q1,M02,WK07,Monday   
APJ,20240318,04,569,FY25,Q1,M02,WK07,Monday   
DAO,20240318,05,170,FY25,Q1,M02,WK07,Monday   
APJ,20240318,05,719,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,05,25,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,06,110,FY25,Q1,M02,WK07,Monday   
DAO,20240318,06,182,FY25,Q1,M02,WK07,Monday   
APJ,20240318,06,972,FY25,Q1,M02,WK07,Monday   
APJ,20240318,07,1088,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,07,266,FY25,Q1,M02,WK07,Monday   
DAO,20240318,07,143,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,08,470,FY25,Q1,M02,WK07,Monday   
DAO,20240318,08,118,FY25,Q1,M02,WK07,Monday   
APJ,20240318,08,887,FY25,Q1,M02,WK07,Monday   
DAO,20240318,09,81,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,09,882,FY25,Q1,M02,WK07,Monday   
APJ,20240318,09,921,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,10,941,FY25,Q1,M02,WK07,Monday   
DAO,20240318,10,128,FY25,Q1,M02,WK07,Monday   
APJ,20240318,10,427,FY25,Q1,M02,WK07,Monday   
APJ,20240318,11,349,FY25,Q1,M02,WK07,Monday   
DAO,20240318,11,295,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,11,1159,FY25,Q1,M02,WK07,Monday   
DAO,20240318,12,1112,FY25,Q1,M02,WK07,Monday   
APJ,20240318,12,252,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,12,981,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,13,1200,FY25,Q1,M02,WK07,Monday   
APJ,20240318,13,238,FY25,Q1,M02,WK07,Monday   
DAO,20240318,13,1522,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,14,1284,FY25,Q1,M02,WK07,Monday   
DAO,20240318,14,2315,FY25,Q1,M02,WK07,Monday   
APJ,20240318,14,147,FY25,Q1,M02,WK07,Monday   
DAO,20240318,15,2949,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,15,1249,FY25,Q1,M02,WK07,Monday   
APJ,20240318,15,245,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,16,858,FY25,Q1,M02,WK07,Monday   
APJ,20240318,16,33,FY25,Q1,M02,WK07,Monday   
DAO,20240318,16,3106,FY25,Q1,M02,WK07,Monday   
APJ,20240318,17,40,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,17,682,FY25,Q1,M02,WK07,Monday   
DAO,20240318,17,2641,FY25,Q1,M02,WK07,Monday   
APJ,20240318,18,8,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,18,272,FY25,Q1,M02,WK07,Monday   
DAO,20240318,18,1726,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,19,375,FY25,Q1,M02,WK07,Monday   
APJ,20240318,19,12,FY25,Q1,M02,WK07,Monday   
DAO,20240318,19,5877,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,20,212,FY25,Q1,M02,WK07,Monday   
APJ,20240318,20,18,FY25,Q1,M02,WK07,Monday   
DAO,20240318,20,4111,FY25,Q1,M02,WK07,Monday   
APJ,20240318,21,34,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,21,197,FY25,Q1,M02,WK07,Monday   
DAO,20240318,21,2514,FY25,Q1,M02,WK07,Monday   
APJ,20240318,22,73,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,22,148,FY25,Q1,M02,WK07,Monday   
DAO,20240318,22,3322,FY25,Q1,M02,WK07,Monday   
APJ,20240318,23,103,FY25,Q1,M02,WK07,Monday   
EMEA,20240318,23,168,FY25,Q1,M02,WK07,Monday   
