REGION,PROCESSDAY,PROCESSDAY_HOUR,ORDER_COUNT,FISCALYEAR,FISCALQUARTER,FISCALMONTH,FISCALWEEK,DAYNUM
EMEA,20240208,12,846,FY25,Q1,M01,WK01,Thursday 
APJ,20240208,12,156,FY25,Q1,M01,WK01,Thursday 
DAO,20240208,12,671,FY25,Q1,M01,WK01,Thursday 
APJ,20240208,13,92,FY25,Q1,M01,WK01,Thursday 
EMEA,20240208,13,853,FY25,Q1,M01,WK01,Thursday 
DAO,20240208,13,987,FY25,Q1,M01,WK01,Thursday 
EMEA,20240208,14,954,FY25,Q1,M01,WK01,Thursday 
DAO,20240208,14,1908,FY25,Q1,M01,WK01,Thursday 
APJ,20240208,14,127,FY25,Q1,M01,WK01,Thursday 
EMEA,20240208,15,973,FY25,Q1,M01,WK01,Thursday 
DAO,20240208,15,2561,FY25,Q1,M01,WK01,Thursday 
APJ,20240208,15,43,FY25,Q1,M01,WK01,Thursday 
APJ,20240208,16,32,FY25,Q1,M01,WK01,Thursday 
DAO,20240208,16,3172,FY25,Q1,M01,WK01,Thursday 
EMEA,20240208,16,1564,FY25,Q1,M01,WK01,Thursday 
DAO,20240208,17,2741,FY25,Q1,M01,WK01,Thursday 
EMEA,20240208,17,713,FY25,Q1,M01,WK01,Thursday 
APJ,20240208,17,15,FY25,Q1,M01,WK01,Thursday 
DAO,20240208,18,3156,FY25,Q1,M01,WK01,Thursday 
APJ,20240208,18,16,FY25,Q1,M01,WK01,Thursday 
EMEA,20240208,18,711,FY25,Q1,M01,WK01,Thursday 
DAO,20240208,19,3115,FY25,Q1,M01,WK01,Thursday 
APJ,20240208,19,18,FY25,Q1,M01,WK01,Thursday 
EMEA,20240208,19,257,FY25,Q1,M01,WK01,Thursday 
DAO,20240208,20,3216,FY25,Q1,M01,WK01,Thursday 
EMEA,20240208,20,224,FY25,Q1,M01,WK01,Thursday 
APJ,20240208,20,17,FY25,Q1,M01,WK01,Thursday 
EMEA,20240208,21,141,FY25,Q1,M01,WK01,Thursday 
DAO,20240208,21,2769,FY25,Q1,M01,WK01,Thursday 
APJ,20240208,21,27,FY25,Q1,M01,WK01,Thursday 
APJ,20240208,22,67,FY25,Q1,M01,WK01,Thursday 
EMEA,20240208,22,127,FY25,Q1,M01,WK01,Thursday 
DAO,20240208,22,2137,FY25,Q1,M01,WK01,Thursday 
APJ,20240208,23,96,FY25,Q1,M01,WK01,Thursday 
EMEA,20240208,23,51,FY25,Q1,M01,WK01,Thursday 
DAO,20240208,23,1849,FY25,Q1,M01,WK01,Thursday 
APJ,20240209,00,221,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,00,76,FY25,Q1,M01,WK01,Friday   
DAO,20240209,00,910,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,01,18,FY25,Q1,M01,WK01,Friday   
DAO,20240209,01,1147,FY25,Q1,M01,WK01,Friday   
APJ,20240209,01,452,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,02,17,FY25,Q1,M01,WK01,Friday   
DAO,20240209,02,533,FY25,Q1,M01,WK01,Friday   
APJ,20240209,02,474,FY25,Q1,M01,WK01,Friday   
DAO,20240209,03,420,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,03,11,FY25,Q1,M01,WK01,Friday   
APJ,20240209,03,470,FY25,Q1,M01,WK01,Friday   
DAO,20240209,04,262,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,04,39,FY25,Q1,M01,WK01,Friday   
APJ,20240209,04,437,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,05,20,FY25,Q1,M01,WK01,Friday   
DAO,20240209,05,285,FY25,Q1,M01,WK01,Friday   
APJ,20240209,05,544,FY25,Q1,M01,WK01,Friday   
DAO,20240209,06,153,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,06,148,FY25,Q1,M01,WK01,Friday   
APJ,20240209,06,714,FY25,Q1,M01,WK01,Friday   
APJ,20240209,07,531,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,07,299,FY25,Q1,M01,WK01,Friday   
DAO,20240209,07,135,FY25,Q1,M01,WK01,Friday   
