REGION,FORECAST_DATE,MODEL1,MODEL2,MODEL3,MODEL4,MODEL5,ACTUALORDERUNIT,CREATED_DATE,UPDATED_DATE
EMEA,8/20/2024 9:00,775,772,799,504,,,16-08-2024,16-08-2024
APJ,8/20/2024 9:00,655,656,771,478,,,16-08-2024,16-08-2024
DAO,8/20/2024 8:00,1190,1343,245,268,,,16-08-2024,16-08-2024
EMEA,8/20/2024 8:00,878,924,593,427,,,16-08-2024,16-08-2024
APJ,8/20/2024 8:00,1236,1268,902,526,,,16-08-2024,16-08-2024
DAO,8/20/2024 7:00,495,496,245,231,,,16-08-2024,16-08-2024
EMEA,8/20/2024 7:00,371,370,355,346,,,16-08-2024,16-08-2024
APJ,8/20/2024 7:00,704,684,894,561,,,16-08-2024,16-08-2024
DAO,8/20/2024 6:00,162,166,262,226,,,16-08-2024,16-08-2024
EMEA,8/20/2024 6:00,218,216,171,267,,,16-08-2024,16-08-2024
APJ,8/20/2024 6:00,745,747,853,582,,,16-08-2024,16-08-2024
DAO,8/20/2024 5:00,171,176,282,250,,,16-08-2024,16-08-2024
EMEA,8/20/2024 5:00,62,63,56,193,,,16-08-2024,16-08-2024
APJ,8/20/2024 5:00,456,468,660,589,,,16-08-2024,16-08-2024
DAO,8/20/2024 4:00,234,241,373,298,,,16-08-2024,16-08-2024
EMEA,8/20/2024 4:00,22,22,33,131,,,16-08-2024,16-08-2024
APJ,8/20/2024 4:00,508,528,573,581,,,16-08-2024,16-08-2024
DAO,8/20/2024 3:00,403,401,549,364,,,16-08-2024,16-08-2024
EMEA,8/20/2024 3:00,35,33,33,81,,,16-08-2024,16-08-2024
APJ,8/20/2024 3:00,633,635,653,560,,,16-08-2024,16-08-2024
DAO,8/20/2024 2:00,481,478,666,442,,,16-08-2024,16-08-2024
EMEA,8/20/2024 2:00,82,86,33,46,,,16-08-2024,16-08-2024
APJ,8/20/2024 2:00,652,645,714,528,,,16-08-2024,16-08-2024
DAO,8/20/2024 1:00,672,690,773,525,,,16-08-2024,16-08-2024
EMEA,8/20/2024 1:00,74,64,33,25,,,16-08-2024,16-08-2024
APJ,8/20/2024 1:00,450,464,550,487,,,16-08-2024,16-08-2024
DAO,8/20/2024 0:00,864,865,1050,607,,,16-08-2024,16-08-2024
